NAME,CZ,LOGMSTAR,LOGMH,RADEG,DEDEG,GRPCZ,CCR,CCB
ECO00694,6682.0,8.39,10.76,154.633,9.687,6682.0,1.43,1.0
ECO00695,3280.9,8.39,10.79,156.766,17.123,3280.9,1.46,1.0
ECO00696,6666.4,8.45,10.77,193.382,18.04,6666.4,1.52,1.0
ECO00697,6945.0,8.65,12.32,204.345,17.397,6900.1,1.5,1.0
ECO00698,6274.5,8.45,10.91,185.158,20.673,6301.1,1.4,1.0
ECO00699,6327.7,8.63,10.91,185.163,20.661,6301.1,1.35,1.0
ECO00700,6186.6,8.27,10.77,167.366,18.947,6186.6,1.59,1.0
ECO00701,6691.7,8.39,11.48,180.392,21.008,6707.5,1.47,1.0
ECO00702,3036.7,8.75,10.82,197.577,20.688,3036.7,1.34,1.0
ECO00703,6384.7,8.55,10.99,172.139,23.534,6384.5,1.53,1.0
ECO00704,6228.8,8.77,12.89,175.739,8.84,6288.2,1.38,1.0
ECO00705,3728.5,8.73,10.87,147.387,17.257,3728.5,1.15,1.0
ECO00706,6844.6,8.63,10.94,183.514,21.996,6932.4,1.47,1.0
ECO00707,3140.2,8.65,10.83,198.233,21.79,3140.2,1.28,1.0
ECO00708,6177.9,8.45,10.76,169.174,22.025,6177.9,1.54,1.0
ECO00709,6914.8,8.63,10.8,202.125,21.83,6914.8,1.31,1.0
ECO00710,6484.8,8.39,10.8,169.232,22.549,6484.8,1.45,1.0
ECO00711,5002.6,9.03,11.07,213.116,20.743,4991.4,1.05,1.0
ECO00712,6911.7,9.11,12.79,199.946,22.981,6889.5,1.35,1.0
ECO00713,6889.5,8.63,11.83,181.324,10.556,6823.7,1.34,1.0
ECO00714,5592.8,8.33,10.75,178.807,21.22,5592.8,1.61,1.0
ECO00715,6097.9,8.39,10.97,171.951,21.629,6126.4,1.48,1.0
ECO00716,5777.8,8.41,10.78,201.615,21.362,5777.8,1.37,1.0
ECO00717,6645.0,8.07,10.8,167.131,22.054,6645.0,1.43,1.0
ECO00718,6369.0,8.35,10.75,170.185,22.258,6369.0,1.46,1.0
ECO00719,6530.2,8.41,10.85,179.137,22.462,6530.2,1.21,1.0
ECO00720,5083.5,8.79,10.74,213.594,20.534,5083.5,1.48,1.0
ECO00721,6605.8,8.43,13.52,183.608,23.763,6699.1,1.39,1.0
ECO00722,6161.0,8.15,11.63,168.371,23.313,6199.8,1.49,1.0
ECO00723,4946.2,8.57,10.78,146.951,10.87,4946.2,1.33,1.0
ECO00724,6592.3,8.91,10.86,200.464,18.879,6592.3,1.14,1.0
ECO00725,5200.7,8.57,10.76,209.479,18.547,5200.7,1.56,1.0
ECO00726,6851.8,8.65,11.28,200.818,19.642,6784.1,1.45,1.0
ECO00727,5230.9,8.27,10.79,166.96,18.991,5230.9,1.48,1.0
ECO00728,5621.5,8.61,11.54,171.579,18.836,5581.6,1.3,1.0
ECO00729,6087.1,8.51,10.76,170.553,18.346,6087.1,1.42,1.0
ECO00730,5491.5,8.77,14.19,176.329,19.394,6266.8,1.39,1.0
ECO00731,6134.3,8.87,11.44,173.147,20.069,6089.9,1.13,1.0
ECO00732,6420.5,8.71,13.1,175.023,20.273,6454.3,1.47,1.0
ECO00733,6932.9,9.01,14.19,175.836,20.191,6266.8,1.34,1.0
ECO00734,6866.5,8.51,12.64,176.388,20.332,6892.9,1.43,1.0
ECO00735,6490.3,8.47,10.75,176.724,20.332,6490.3,1.54,1.0
ECO00736,6645.3,8.55,10.77,177.577,20.746,6645.3,1.38,1.0
ECO00737,6771.4,8.67,10.75,176.613,20.83,6771.4,1.55,1.0
ECO00738,6602.0,8.73,10.99,176.676,20.649,6548.2,1.41,1.0
ECO00739,6645.2,9.05,13.85,202.328,11.874,6822.9,1.35,1.0
ECO00740,6953.6,8.83,11.07,203.282,18.366,6933.4,1.34,1.0
ECO00741,6635.3,8.53,12.39,173.796,20.514,6482.5,1.37,1.0
ECO00742,5008.2,8.75,13.62,212.53,17.658,5308.8,1.49,1.0
